Date,A,B,C,D,E
2020/4/24 00:01,6,-1,-6.1,28,27
2020/4/24 00:02,6,2,-6.2,28,27
2020/4/24 00:03,7,3,-6.2,28,27
2020/4/24 00:04,6,-2,-6.3,28,27
2020/4/24 00:05,6,6,-6.2,28,27
2020/4/24 00:06,8,2,-6.3,28,27
2020/4/24 00:07,5,3,-6.2,28,27
2020/4/24 00:08,8,1,-6.2,28,27
2020/4/24 00:09,7,-3,-6.2,28,27
2020/4/24 00:10,8,1,-6.2,28,27
2020/4/24 00:11,6,-1,-6.2,28,27
2020/4/24 00:12,9,2,-6.2,28,27
2020/4/24 00:13,7,2,-6.2,28,27
2020/4/24 00:14,7,-4,-6.2,28,27
2020/4/24 00:15,7,2,-6.2,28,27
2020/4/24 00:16,7,-1,-6.2,28,27
2020/4/24 00:17,10,3,-6.1,28,27
2020/4/24 00:18,8,4,-6.2,28,27
2020/4/24 00:19,9,-1,-6.2,28,27
2020/4/24 00:20,7,1,-6.2,28,27
2020/4/24 00:21,7,3,-6.2,28,27
2020/4/24 00:22,6,5,-6.2,28,27
2020/4/24 00:23,7,1,-6.2,28,27
2020/4/24 00:24,9,0,-6.2,28,27
2020/4/24 00:25,9,1,-6.2,28,27
2020/4/24 00:26,8,3,-6.2,28,27
2020/4/24 00:27,7,-1,-6.2,28,27
2020/4/24 00:28,7,0,-6.2,28,27
2020/4/24 00:29,5,1,-6.1,28,27
2020/4/24 00:30,7,1,-6.1,28,27
2020/4/24 00:31,9,5,-6.2,28,28
2020/4/24 00:32,8,2,-6.2,28,28
2020/4/24 00:33,8,0,-6.2,28,27
2020/4/24 00:34,10,4,-6.2,28,27
2020/4/24 00:35,5,0,-6.1,28,27
2020/4/24 00:36,6,1,-6.2,28,27
2020/4/24 00:37,8,2,-6.2,28,27
2020/4/24 00:38,10,2,-6.2,28,27
2020/4/24 00:39,7,0,-6.3,28,27
2020/4/24 00:40,7,0,-6.2,28,27
2020/4/24 00:41,3,2,-6.2,28,27
2020/4/24 00:42,10,-1,-6.2,28,27
2020/4/24 00:43,8,1,-6.2,28,27
2020/4/24 00:44,9,0,-6.2,28,27
2020/4/24 00:45,4,4,-6.1,28,27
2020/4/24 00:46,9,1,-6.2,28,27
2020/4/24 00:47,6,2,-6.3,28,27
2020/4/24 00:48,5,2,-6.2,28,27
2020/4/24 00:49,10,-2,-6.2,28,27
2020/4/24 00:50,6,3,-6.2,28,27
2020/4/24 00:51,6,2,-6.2,28,27
2020/4/24 00:52,8,1,-6.2,28,27
2020/4/24 00:53,7,-4,-6.3,28,27
2020/4/24 00:54,8,4,-6.2,28,27
2020/4/24 00:55,9,1,-6.1,28,27
2020/4/24 00:56,7,1,-6.2,28,27
2020/4/24 00:57,9,2,-6.2,28,27
2020/4/24 00:58,6,4,-6.2,28,27
2020/4/24 00:59,9,1,-6.3,28,27
2020/4/24 01:00,8,-1,-6.3,28,27
2020/4/24 01:01,7,1,-6.3,28,27
2020/4/24 01:02,9,2,-6.2,28,27
2020/4/24 01:03,7,3,-6.3,28,27
2020/4/24 01:04,7,-2,-6.2,28,27
2020/4/24 01:05,8,-2,-6.2,28,27
2020/4/24 01:06,7,2,-6.2,28,27
2020/4/24 01:07,8,2,-6.2,28,27
2020/4/24 01:08,5,2,-6.2,28,27
2020/4/24 01:09,9,0,-6.3,28,27
2020/4/24 01:10,6,-1,-6.2,28,27
2020/4/24 01:11,10,4,-6.2,28,27
2020/4/24 01:12,8,-1,-6.2,28,27
2020/4/24 01:13,8,-3,-6.2,28,27
2020/4/24 01:14,8,4,-6.2,28,27
2020/4/24 01:15,9,-2,-6.2,28,27
2020/4/24 01:16,7,3,-6.2,28,27
2020/4/24 01:17,7,1,-6.2,28,27
2020/4/24 01:18,7,1,-6.1,28,27
2020/4/24 01:19,8,0,-6.2,28,27
2020/4/24 01:20,9,1,-6.2,28,27
2020/4/24 01:21,9,1,-6.3,28,27
2020/4/24 01:22,7,2,-6.1,28,27
2020/4/24 01:23,7,0,-6.2,28,27
2020/4/24 01:24,5,-4,-6.2,28,28
2020/4/24 01:25,7,0,-6.1,28,28
2020/4/24 01:26,7,2,-6.2,28,28
2020/4/24 01:27,9,2,-6.2,28,27
2020/4/24 01:28,8,-3,-6.2,28,27
2020/4/24 01:29,9,-1,-6.3,28,27
2020/4/24 01:30,11,-1,-6.2,28,27
2020/4/24 01:31,9,0,-6.2,28,27
2020/4/24 01:32,6,3,-6.1,28,27
2020/4/24 01:33,7,-2,-6.1,28,27
2020/4/24 01:34,7,-1,-6.2,28,27
2020/4/24 01:35,9,-2,-6.2,28,27
2020/4/24 01:36,8,0,-6.2,28,27
2020/4/24 01:37,6,2,-6.2,28,27
2020/4/24 01:38,9,1,-6.2,28,27
2020/4/24 01:39,7,4,-6.2,28,27
2020/4/24 01:40,5,1,-6.2,28,27
2020/4/24 01:41,10,3,-6.2,28,27
2020/4/24 01:42,10,-1,-6.2,28,27
2020/4/24 01:43,8,0,-6.2,28,27
2020/4/24 01:44,7,3,-6.2,28,27
2020/4/24 01:45,8,3,-6.2,28,27
2020/4/24 01:46,5,2,-6.2,28,27
2020/4/24 01:47,8,0,-6.2,28,27
2020/4/24 01:48,8,2,-6.2,28,27
2020/4/24 01:49,9,-1,-6.1,28,27
2020/4/24 01:50,8,3,-6.2,28,27
2020/4/24 01:51,7,3,-6.2,28,27
2020/4/24 01:52,5,2,-6.3,28,27
2020/4/24 01:53,8,-1,-6.2,28,27
2020/4/24 01:54,7,-3,-6.3,28,27
2020/4/24 01:55,5,3,-6.2,28,27
2020/4/24 01:56,8,2,-6.1,28,27
2020/4/24 01:57,8,1,-6.2,28,27
2020/4/24 01:58,8,0,-6.2,28,27
2020/4/24 01:59,9,1,-6.2,28,27
2020/4/24 02:00,8,1,-6.2,28,27
2020/4/24 02:01,6,3,-6.2,28,27
2020/4/24 02:02,7,-2,-6.2,28,27
2020/4/24 02:03,6,-2,-6.2,28,27
2020/4/24 02:04,7,2,-6.2,28,27
2020/4/24 02:05,9,1,-6.2,28,27
2020/4/24 02:06,8,0,-6.2,28,27
2020/4/24 02:07,7,1,-6.2,28,27
2020/4/24 02:08,8,-2,-6.2,28,27
2020/4/24 02:09,7,-1,-6.3,28,27
2020/4/24 02:10,9,1,-6.2,28,27
2020/4/24 02:11,9,1,-6.2,28,27
2020/4/24 02:12,8,-2,-6.2,28,27
2020/4/24 02:13,7,2,-6.2,28,27
2020/4/24 02:14,7,-3,-6.3,28,27
2020/4/24 02:15,9,2,-6.3,28,27
2020/4/24 02:16,8,6,-6.4,28,27
2020/4/24 02:17,9,1,-6.1,28,27
2020/4/24 02:18,7,1,-6.1,28,27
2020/4/24 02:19,9,4,-6.2,28,28
2020/4/24 02:20,9,3,-6.1,28,28
2020/4/24 02:21,9,3,-6.2,28,28
2020/4/24 02:22,9,0,-6.2,28,27
2020/4/24 02:23,7,4,-6.1,28,27
2020/4/24 02:24,8,-2,-6.2,28,27
2020/4/24 02:25,6,0,-6.2,28,27
2020/4/24 02:26,5,4,-6.2,28,27
2020/4/24 02:27,7,3,-6.2,28,27
2020/4/24 02:28,7,-2,-6.2,28,27
2020/4/24 02:29,7,0,-6.1,28,27
2020/4/24 02:30,6,2,-6.2,28,27
2020/4/24 02:31,6,2,-6.2,28,27
2020/4/24 02:32,8,2,-6.2,28,27
2020/4/24 02:33,10,-1,-6.2,28,27
2020/4/24 02:34,7,1,-6.2,28,27
2020/4/24 02:35,7,3,-6.2,28,27
2020/4/24 02:36,9,1,-6.3,28,27
2020/4/24 02:37,8,1,-6.2,28,27
2020/4/24 02:38,7,-1,-6.2,28,27
2020/4/24 02:39,8,-2,-6.2,28,27
2020/4/24 02:40,7,1,-6.1,28,27
2020/4/24 02:41,7,-2,-6.2,28,27
2020/4/24 02:42,3,3,-6.2,28,27
2020/4/24 02:43,8,-1,-6.3,28,27
2020/4/24 02:44,8,2,-6.3,28,27
2020/4/24 02:45,8,2,-6.2,28,27
2020/4/24 02:46,11,-3,-6.3,28,27
2020/4/24 02:47,8,2,-6.2,28,27
2020/4/24 02:48,8,0,-6.3,28,27
2020/4/24 02:49,8,-1,-6.2,28,27
2020/4/24 02:50,8,0,-6.2,28,27
2020/4/24 02:51,5,2,-6.2,28,27
2020/4/24 02:52,8,2,-6.2,28,27
2020/4/24 02:53,9,1,-6.3,28,27
2020/4/24 02:54,6,3,-6.1,28,27
2020/4/24 02:55,8,1,-6.1,28,27
2020/4/24 02:56,7,2,-6.3,28,27
2020/4/24 02:57,8,4,-6.2,28,27
2020/4/24 02:58,8,3,-6.3,28,27
2020/4/24 02:59,6,2,-6.2,28,27
2020/4/24 03:00,9,-1,-6.2,28,27
2020/4/24 03:01,9,3,-6.2,28,27
2020/4/24 03:02,9,0,-6.1,28,27
2020/4/24 03:03,8,1,-6.2,28,27
2020/4/24 03:04,11,2,-6.2,28,27
2020/4/24 03:05,8,0,-6.2,28,27
2020/4/24 03:06,8,2,-6.1,28,27
2020/4/24 03:07,8,2,-6.2,28,27
2020/4/24 03:08,7,1,-6.1,28,27
2020/4/24 03:09,6,3,-6.2,28,27
2020/4/24 03:10,8,-1,-6.2,28,27
2020/4/24 03:11,8,5,-6.2,28,27
2020/4/24 03:12,9,1,-6.2,28,27
2020/4/24 03:13,6,5,-6.2,28,27
2020/4/24 03:14,7,2,-6.2,28,28
2020/4/24 03:15,6,3,-6.1,28,28
2020/4/24 03:16,9,0,-6.3,28,28
2020/4/24 03:17,7,0,-6.2,28,27
2020/4/24 03:18,9,3,-6.2,28,27
2020/4/24 03:19,7,-3,-6.2,28,27
2020/4/24 03:20,8,2,-6.2,28,27
2020/4/24 03:21,7,4,-6.2,28,27
2020/4/24 03:22,9,2,-6.2,28,27
2020/4/24 03:23,7,-1,-6.2,28,27
2020/4/24 03:24,7,1,-6.2,28,27
2020/4/24 03:25,8,-1,-6.3,28,27
2020/4/24 03:26,8,4,-6.3,28,27
2020/4/24 03:27,7,2,-6.3,28,27
2020/4/24 03:28,7,-1,-6.2,28,27
2020/4/24 03:29,9,0,-6.3,28,27
2020/4/24 03:30,7,0,-6.2,28,27
2020/4/24 03:31,5,3,-6.3,28,27
2020/4/24 03:32,7,1,-6.1,28,27
2020/4/24 03:33,9,0,-6.2,28,27
2020/4/24 03:34,8,1,-6.2,28,27
2020/4/24 03:35,7,-2,-6.2,28,27
2020/4/24 03:36,9,2,-6.2,28,27
2020/4/24 03:37,7,-1,-6.2,28,27
2020/4/24 03:38,8,-1,-6.2,28,27
2020/4/24 03:39,9,3,-6.1,28,27
2020/4/24 03:40,10,0,-6.2,28,27
2020/4/24 03:41,9,1,-6.3,28,27
2020/4/24 03:42,9,1,-6.2,28,27
2020/4/24 03:43,8,2,-6.2,28,27
2020/4/24 03:44,8,-3,-6.3,28,27
2020/4/24 03:45,7,-2,-6.3,28,27
2020/4/24 03:46,7,3,-6.2,28,27
2020/4/24 03:47,9,3,-6.2,28,27
2020/4/24 03:48,7,2,-6.3,28,27
2020/4/24 03:49,8,1,-6.3,28,27
2020/4/24 03:50,6,0,-6.3,28,27
2020/4/24 03:51,6,3,-6.2,28,27
2020/4/24 03:52,6,1,-6.3,28,27
2020/4/24 03:53,5,3,-6.2,28,27
2020/4/24 03:54,8,2,-6.3,28,27
2020/4/24 03:55,7,0,-6.2,28,27
2020/4/24 03:56,4,-3,-6.2,28,27
2020/4/24 03:57,8,0,-6.2,28,27
2020/4/24 03:58,7,3,-6.2,28,27
2020/4/24 03:59,7,1,-6.3,28,27
2020/4/24 04:00,8,-1,-6.3,28,27
2020/4/24 04:01,6,7,-6.1,28,27
2020/4/24 04:02,7,2,-6.2,28,27
2020/4/24 04:03,8,1,-6.1,28,27
2020/4/24 04:04,9,-1,-6.2,28,27
2020/4/24 04:05,7,1,-6.2,28,27
2020/4/24 04:06,6,3,-6.2,28,27
2020/4/24 04:07,7,1,-6.2,28,27
2020/4/24 04:08,8,2,-6.1,28,27
2020/4/24 04:09,8,5,-6.3,28,28
2020/4/24 04:10,9,3,-6.2,28,28
2020/4/24 04:11,7,0,-6.2,28,28
2020/4/24 04:12,5,2,-6.2,28,27
2020/4/24 04:13,7,3,-6.1,28,27
2020/4/24 04:14,4,2,-6.2,28,27
2020/4/24 04:15,5,0,-6.2,28,27
2020/4/24 04:16,8,3,-6.2,28,27
2020/4/24 04:17,6,5,-6.2,28,27
2020/4/24 04:18,9,3,-6.2,28,27
2020/4/24 04:19,8,3,-6.2,28,27
2020/4/24 04:20,11,-2,-6.3,28,27
2020/4/24 04:21,7,5,-6.1,28,27
2020/4/24 04:22,6,0,-6.2,28,27
2020/4/24 04:23,9,4,-6.2,28,27
2020/4/24 04:24,6,-2,-6.4,28,27
2020/4/24 04:25,10,2,-6.2,28,27
2020/4/24 04:26,5,0,-6.2,28,27
2020/4/24 04:27,8,-1,-6.2,28,27
2020/4/24 04:28,7,3,-6.2,28,27
2020/4/24 04:29,8,1,-6.2,28,27
2020/4/24 04:30,6,4,-6.3,28,27
2020/4/24 04:31,7,0,-6.1,28,27
2020/4/24 04:32,6,4,-6.3,28,27
2020/4/24 04:33,5,0,-6.3,28,27
2020/4/24 04:34,10,-1,-6.2,28,27
2020/4/24 04:35,7,0,-6.2,28,27
2020/4/24 04:36,9,2,-6.2,28,27
2020/4/24 04:37,11,1,-6.3,28,27
2020/4/24 04:38,8,1,-6.2,28,27
2020/4/24 04:39,7,1,-6.2,28,27
2020/4/24 04:40,8,4,-6.3,28,27
2020/4/24 04:41,9,2,-6.2,28,27
2020/4/24 04:42,8,3,-6.2,28,27
2020/4/24 04:43,8,0,-6.2,28,27
2020/4/24 04:44,8,1,-6.2,28,27
2020/4/24 04:45,6,3,-6.2,28,27
2020/4/24 04:46,8,1,-6.2,28,27
2020/4/24 04:47,6,-3,-6.2,28,27
2020/4/24 04:48,8,0,-6.3,28,27
2020/4/24 04:49,7,2,-6.2,28,27
2020/4/24 04:50,8,-1,-6.2,28,27
2020/4/24 04:51,8,2,-6.2,28,27
2020/4/24 04:52,6,4,-6.2,28,27
2020/4/24 04:53,7,-1,-6.2,28,27
2020/4/24 04:54,8,0,-6.2,28,27
2020/4/24 04:55,8,5,-6.3,28,27
2020/4/24 04:56,4,0,-6.1,28,27
2020/4/24 04:57,9,-1,-6.3,28,27
2020/4/24 04:58,8,-3,-6.2,28,27
2020/4/24 04:59,10,2,-6.2,28,27
2020/4/24 05:00,8,-1,-6.1,28,27
2020/4/24 05:01,8,-1,-6.2,28,27
2020/4/24 05:02,8,5,-6.2,28,27
2020/4/24 05:03,10,2,-6.1,28,27
2020/4/24 05:04,6,3,-6.3,28,28
2020/4/24 05:05,8,5,-6.2,28,28
2020/4/24 05:06,6,2,-6.3,28,28
2020/4/24 05:07,6,-1,-6.1,28,27
2020/4/24 05:08,8,4,-6.2,28,27
2020/4/24 05:09,6,-2,-6.2,28,27
2020/4/24 05:10,8,0,-6.2,28,27
2020/4/24 05:11,8,1,-6.2,28,27
2020/4/24 05:12,4,0,-6.3,28,27
2020/4/24 05:13,8,0,-6.2,28,27
2020/4/24 05:14,8,2,-6.2,28,27
2020/4/24 05:15,6,1,-6.2,28,27
2020/4/24 05:16,8,-1,-6.2,28,27
2020/4/24 05:17,7,4,-6.3,28,27
2020/4/24 05:18,8,2,-6.3,28,27
2020/4/24 05:19,7,2,-6.2,28,27
2020/4/24 05:20,8,0,-6.2,28,27
2020/4/24 05:21,7,2,-6.3,28,27
2020/4/24 05:22,8,-1,-6.2,28,27
2020/4/24 05:23,7,2,-6.2,28,27
2020/4/24 05:24,9,3,-6.1,28,27
2020/4/24 05:25,5,-1,-6.2,28,27
2020/4/24 05:26,5,0,-6.2,28,27
2020/4/24 05:27,8,3,-6.2,28,27
2020/4/24 05:28,8,3,-6.2,28,27
2020/4/24 05:29,8,4,-6.1,28,27
2020/4/24 05:30,7,0,-6.2,28,27
2020/4/24 05:31,6,0,-6.2,28,27
2020/4/24 05:32,6,1,-6.2,28,27
2020/4/24 05:33,9,0,-6.2,28,27
2020/4/24 05:34,9,-1,-6.2,28,27
2020/4/24 05:35,8,-1,-6.2,28,27
2020/4/24 05:36,7,1,-6.2,28,27
2020/4/24 05:37,11,-1,-6.2,28,27
2020/4/24 05:38,8,2,-6.2,28,27
2020/4/24 05:39,6,-1,-6.2,28,27
2020/4/24 05:40,8,-1,-6.2,28,27
2020/4/24 05:41,8,-2,-6.2,28,27
2020/4/24 05:42,6,2,-6.2,28,27
2020/4/24 05:43,9,3,-6.3,28,27
2020/4/24 05:44,8,1,-6.1,28,27
2020/4/24 05:45,9,2,-6.2,28,27
2020/4/24 05:46,8,0,-6.2,28,27
2020/4/24 05:47,5,2,-6.2,28,27
2020/4/24 05:48,7,0,-6.2,28,27
2020/4/24 05:49,9,2,-6.2,28,27
2020/4/24 05:50,8,3,-6.2,28,27
2020/4/24 05:51,9,2,-6.2,28,27
2020/4/24 05:52,6,4,-6.2,28,27
2020/4/24 05:53,7,0,-6.3,28,27
2020/4/24 05:54,8,-1,-6.3,28,27
